Ric,Enable,Date,Sodpos,HistVol,Beta,BuyAlpha,SellAlpha,VolMultiplier
000001.SZ,TRUE,20141208,0,0.5,0.89,0,0,1
000002.SZ,TRUE,20141208,0,0.5,0.89,0,0,1
000009.SZ,TRUE,20141208,0,0.5,0.89,0,0,1
000024.SZ,TRUE,20141208,0,0.5,0.89,0,0,1
000027.SZ,TRUE,20141208,0,0.5,0.89,0,0,1
000039.SZ,TRUE,20141208,0,0.5,0.89,0,0,1
000060.SZ,TRUE,20141208,0,0.5,0.89,0,0,1
000061.SZ,TRUE,20141208,0,0.5,0.89,0,0,1
000063.SZ,TRUE,20141208,0,0.5,0.89,0,0,1
000069.SZ,TRUE,20141208,0,0.5,0.89,0,0,1
000100.SZ,TRUE,20141208,0,0.5,0.89,0,0,1
000156.SZ,TRUE,20141208,0,0.5,0.89,0,0,1
000157.SZ,TRUE,20141208,0,0.5,0.89,0,0,1
000333.SZ,TRUE,20141208,0,0.5,0.89,0,0,1
000338.SZ,TRUE,20141208,0,0.5,0.89,0,0,1
000400.SZ,TRUE,20141208,0,0.5,0.89,0,0,1
000401.SZ,TRUE,20141208,0,0.5,0.89,0,0,1
000402.SZ,TRUE,20141208,0,0.5,0.89,0,0,1
000413.SZ,TRUE,20141208,0,0.5,0.89,0,0,1
000423.SZ,TRUE,20141208,0,0.5,0.89,0,0,1
000425.SZ,TRUE,20141208,0,0.5,0.89,0,0,1
000503.SZ,TRUE,20141208,0,0.5,0.89,0,0,1
000536.SZ,TRUE,20141208,0,0.5,0.89,0,0,1
000538.SZ,TRUE,20141208,0,0.5,0.89,0,0,1
000559.SZ,TRUE,20141208,0,0.5,0.89,0,0,1
000568.SZ,TRUE,20141208,0,0.5,0.89,0,0,1
000581.SZ,TRUE,20141208,0,0.5,0.89,0,0,1
000598.SZ,TRUE,20141208,0,0.5,0.89,0,0,1
000623.SZ,TRUE,20141208,0,0.5,0.89,0,0,1
000625.SZ,TRUE,20141208,0,0.5,0.89,0,0,1
000629.SZ,TRUE,20141208,0,0.5,0.89,0,0,1
000630.SZ,TRUE,20141208,0,0.5,0.89,0,0,1
000651.SZ,TRUE,20141208,0,0.5,0.89,0,0,1
000686.SZ,TRUE,20141208,0,0.5,0.89,0,0,1
000709.SZ,TRUE,20141208,0,0.5,0.89,0,0,1
000725.SZ,TRUE,20141208,0,0.5,0.89,0,0,1
000728.SZ,TRUE,20141208,0,0.5,0.89,0,0,1
000729.SZ,TRUE,20141208,0,0.5,0.89,0,0,1
000750.SZ,TRUE,20141208,0,0.5,0.89,0,0,1
000768.SZ,TRUE,20141208,0,0.5,0.89,0,0,1
000776.SZ,TRUE,20141208,0,0.5,0.89,0,0,1
000778.SZ,TRUE,20141208,0,0.5,0.89,0,0,1
000783.SZ,TRUE,20141208,0,0.5,0.89,0,0,1
000792.SZ,TRUE,20141208,0,0.5,0.89,0,0,1
000793.SZ,TRUE,20141208,0,0.5,0.89,0,0,1
000800.SZ,TRUE,20141208,0,0.5,0.89,0,0,1
000825.SZ,TRUE,20141208,0,0.5,0.89,0,0,1
000826.SZ,TRUE,20141208,0,0.5,0.89,0,0,1
000831.SZ,TRUE,20141208,0,0.5,0.89,0,0,1
000839.SZ,TRUE,20141208,0,0.5,0.89,0,0,1
000858.SZ,TRUE,20141208,0,0.5,0.89,0,0,1
000869.SZ,TRUE,20141208,0,0.5,0.89,0,0,1
000876.SZ,TRUE,20141208,0,0.5,0.89,0,0,1
000878.SZ,TRUE,20141208,0,0.5,0.89,0,0,1
000883.SZ,TRUE,20141208,0,0.5,0.89,0,0,1
000895.SZ,TRUE,20141208,0,0.5,0.89,0,0,1
000898.SZ,TRUE,20141208,0,0.5,0.89,0,0,1
000917.SZ,TRUE,20141208,0,0.5,0.89,0,0,1
000937.SZ,TRUE,20141208,0,0.5,0.89,0,0,1
000960.SZ,TRUE,20141208,0,0.5,0.89,0,0,1
000963.SZ,TRUE,20141208,0,0.5,0.89,0,0,1
